dataset,variant,seed,fold,best_epoch,train_seconds,test_uar,test_macro_f1,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits
ravdess,leace_trainfit,44,1,17,18.3,0.446875,0.4423689226710763,1.5515252765430776,-0.5973415196483427,2.3219280948873626
ravdess,leace_trainfit,44,2,14,17.6,0.36874999999999997,0.35611659226611986,1.2690128536933993,-0.90601462054802,2.3219280948873626
ravdess,leace_trainfit,44,3,14,16.6,0.434375,0.40738812847998984,1.0311575693994992,-0.5157477176411125,2.3219280948873626
ravdess,leace_trainfit,44,4,29,9.5,0.50625,0.4857422155281678,1.2040032303534114,-0.5229526943775928,2.3219280948873626
ravdess,leace_trainfit,44,5,14,7.3,0.39453125,0.35932513920155074,0.820382110580189,-0.6424464698694963,2.0
ravdess,leace_trans,42,1,17,20.5,0.484375,0.4750375826659494,2.1034289895962144,-0.2682038754678575,2.3219280948873626
ravdess,leace_trans,42,2,23,23.7,0.509375,0.48896222910379833,2.2724886557999096,-0.45261575484372774,2.3219280948873626
ravdess,leace_trans,42,3,21,19.3,0.515625,0.4780586745549058,2.2732141691747723,-0.512741215793481,2.3219280948873626
ravdess,leace_trans,42,4,22,18.7,0.478125,0.4503584657750867,2.1766261004223764,-0.7825434183656914,2.3219280948873626
ravdess,leace_trans,42,5,36,16.4,0.5078125,0.5027068408275128,1.7615273251037906,-0.422950202957745,2.0
ravdess,leace_trans,43,1,32,18.5,0.540625,0.5213998919700641,2.207335711646831,-0.4952045020186735,2.3219280948873626
ravdess,leace_trans,43,2,33,17.1,0.559375,0.5544610740585943,2.250022749399009,-0.5723957839679898,2.3219280948873626
ravdess,leace_trans,43,3,30,24.0,0.49374999999999997,0.4417337320869533,2.2427031247428393,-0.40999541043916876,2.3219280948873626
